title,year,certificate,duration,genre,rating,votes
Pray Away,(2021),PG-13,101 min,Documentary,6.5,3005
Alvinnn!!! And the Chipmunks,(2015– ),TV-Y7,11 min,"Animation, Comedy, Family",4.5,1417
Conversations with a Killer: The Jeffrey Dahmer Tapes,(2022),Unknown,0,"Documentary, Biography, Crime",0.0,0
Ares,(2020),TV-MA,32 min,"Drama, Horror, Mystery",5.7,4448
Atlantics,(2019),TV-14,106 min,"Drama, Mystery, Romance",6.7,9492
Selling Tampa,(2021– ),TV-MA,45 min,Reality-TV,4.6,874
Ghost in the Shell 2: Innocence,(2004),PG-13,100 min,"Animation, Drama, Mystery",7.4,38504
Cyber Hell: Exposing an Internet Horror,(2022),TV-MA,105 min,"Documentary, Crime",6.5,1628
The Soul,(2021),Unknown,130 min,"Drama, Mystery, Sci-Fi",6.6,2889
High Society,(2018),Unknown,120 min,Drama,5.5,1052
Rosemary's Baby,(2014),TV-14,170 min,"Drama, Horror, Mystery",5.5,5526
The Yard,(2018–2019),Unknown,120 min,"Crime, Drama",7.1,1692
Murder Among the Mormons,(2021),TV-14,160 min,"Documentary, Crime, History",7.0,6493
Project Mc²,(2015–2017),TV-Y7,26 min,Family,5.9,1060
We Baby Bears,(2022– ),TV-Y7,11 min,"Animation, Adventure, Comedy",5.9,277
Small Crimes,(2017),TV-MA,95 min,"Crime, Drama, Thriller",5.8,8250
Ailiseu,(2009–2013),Unknown,60 min,"Action, Mystery, Romance",7.7,2061
Operation Hyacinth,(2021),TV-MA,112 min,"Crime, Drama",6.7,3304
TharnType,(2019–2021),Unknown,52 min,Romance,8.1,2164
Za duzy na bajki,(2022),Unknown,106 min,"Comedy, Family",6.2,1074
Transformers: Robots in Disguise,(2014–2020),TV-Y7,22 min,"Animation, Action, Adventure",5.9,1091
Skylanders Academy,(2016–2018),TV-Y7,25 min,"Animation, Action, Adventure",6.6,781
Real Rob,(2015– ),TV-MA,30 min,Comedy,6.3,2905
Into the Wind,(2022),TV-MA,107 min,"Comedy, Drama, Romance",5.2,947
Tallulah,(2016),Unknown,111 min,"Comedy, Drama, Romance",6.7,20352
Death Note,(2015),Unknown,46 min,"Crime, Drama, Fantasy",7.1,1626
May the Devil Take You,(2018),TV-MA,110 min,"Horror, Mystery, Thriller",5.9,4369
Tunnel,(2017),Unknown,60 min,"Crime, Drama, Fantasy",8.3,2940
Gun City,(2018),TV-MA,126 min,"Crime, History, Thriller",6.3,3970
Marriage Contract,(2016),Unknown,75 min,Drama,7.5,771
Precious Cargo,(2016),R,90 min,"Action, Comedy, Thriller",4.6,9467
Svaha: The Sixth Finger,(2019),Not Rated,122 min,"Crime, Horror, Mystery",6.2,4053
Perdida,(2018),TV-MA,103 min,"Crime, Drama, Mystery",5.6,4915
Saturday Morning All Star Hits!,(2021– ),TV-14,23 min,"Animation, Comedy",7.5,1005
Fated to Love You,(2014),TV-14,60 min,"Comedy, Romance",7.9,2519
Busted!,(2018–2021),TV-14,90 min,"Comedy, Reality-TV",7.6,951
My Secret Terrius,(2018),TV-14,35 min,"Comedy, Drama, Romance",7.6,1284
Hard Breakers,(2010),R,99 min,Comedy,2.8,1343
Chicago Party Aunt,(2021– ),TV-MA,30 min,"Animation, Comedy",5.4,1587
Winter on Fire: Ukraine's Fight for Freedom,(2015),Not Rated,102 min,Documentary,8.3,19042
Heist,(2021– ),TV-MA,41 min,"Documentary, Crime, Mystery",6.8,1812
Diana,(I) (2021),PG-13,117 min,"Biography, Drama, Musical",4.3,1320
The Piano Lesson,0,Unknown,0,"Comedy, Drama, Music",0.0,0
The Monkey King,(2023),Unknown,0,"Animation, Action, Adventure",0.0,0
Seized,(I) (2020),R,85 min,"Action, Thriller",5.3,2347
"Belascoarán, PI",(2022– ),Unknown,0,"Crime, Drama, Thriller",0.0,0
Defendant,(2017),Unknown,70 min,"Crime, Drama, Mystery",8.2,1553
Son: The Guest,(2018– ),Unknown,65 min,"Drama, Horror, Mystery",8.1,1685
Mersal,(2017),Not Rated,172 min,"Action, Thriller",7.5,34529
Lady J,(2018),TV-14,109 min,"Drama, Romance",6.8,3500
Masum,(2017),TV-14,60 min,"Crime, Drama, Mystery",8.3,18448
Dancing Queens,(2021),TV-MA,110 min,"Comedy, Drama",5.6,1820
Mismatched,(2020– ),TV-MA,30 min,"Comedy, Drama, Romance",5.5,3976
The Great Canadian Baking Show,(2017– ),Unknown,44 min,Reality-TV,7.4,428
Queer Eye: Brazil,(2022– ),TV-14,45 min,Reality-TV,6.8,134
Schumacher,(2021),12,112 min,"Documentary, Biography, Sport",7.4,22922
Etharkkum Thunindhavan,(2022),Unknown,151 min,"Action, Crime, Drama",6.5,12290
Rebirth,(I) (2016),TV-MA,100 min,Thriller,4.9,5435
100 Humans: Life's Questions. Answered.,(2020– ),TV-14,0,Reality-TV,5.8,4135
Finding Bliss,(2009),R,96 min,"Comedy, Romance",5.2,2555
All Hail King Julien,(2014–2017),TV-Y7,23 min,"Animation, Short, Action",7.0,2067
The Stranded,(2019),TV-MA,40 min,"Adventure, Drama, Mystery",6.2,1307
Small Town Crime,(2017),R,91 min,"Crime, Mystery, Thriller",6.6,11538
Akashic Records of Bastard Magic Instructor,(2017– ),TV-14,24 min,"Animation, Action, Comedy",7.0,2221
Kill Me Three Times,(2014),R,90 min,"Action, Comedy, Crime",5.8,23560
Christmas Inheritance,(2017),Unknown,104 min,"Comedy, Drama, Romance",5.7,11805
13 Geboden,(2017–2018),Unknown,46 min,"Crime, Mystery, Thriller",7.0,2633
Bright Night,(2014),Unrated,86 min,"Drama, Mystery",5.1,1261
The Four of Us,(2021),TV-MA,88 min,"Comedy, Drama, Romance",5.3,1106
Unsuspicious,(2022– ),TV-MA,30 min,"Comedy, Mystery, Thriller",5.4,102
Crash Pad,(I) (2017),R,91 min,Comedy,5.7,5279
La influencia,(2019),TV-MA,99 min,Horror,4.6,3811
If Anything Happens I Love You,(2020),PG,13 min,"Animation, Short, Drama",7.8,16567
The Playbook,(2020),TV-MA,0,"Documentary, Sport",7.4,1441
Kakegurui Twin,(2022– ),TV-14,24 min,"Animation, Drama, Mystery",6.6,421
Leila,(2019– ),Unknown,48 min,"Drama, Sci-Fi",4.9,8998
Single's Inferno,(2021– ),TV-PG,0,Reality-TV,7.1,1706
The World Is Yours,(2018),TV-MA,102 min,"Comedy, Crime",6.3,4426
The Getaway King,(2021),Unknown,100 min,"Action, Comedy, Crime",6.5,2023
Neymar: The Perfect Chaos,(2022),Unknown,164 min,"Documentary, Biography, Sport",6.6,3341
One Day,0,Unknown,0,"Comedy, Drama, Romance",0.0,0
#Realityhigh,(2017),TV-14,99 min,"Comedy, Drama, Romance",5.1,6432
Pokémon: Mewtwo Strikes Back - Evolution,(2019),TV-Y7,98 min,"Animation, Action, Family",5.7,5560
Death to 2020,(2020 TV Special),TV-MA,70 min,Comedy,6.8,38711
The Numbers Station,(2013),R,89 min,"Action, Thriller",5.6,20186
Invader ZIM: Enter the Florpus,(2019 TV Movie),TV-Y7-FV,71 min,"Animation, Action, Adventure",7.4,5882
High Flying Bird,(2019),TV-MA,90 min,"Drama, Sport",6.2,8696
The Seven Husbands of Evelyn Hugo,0,Unknown,0,Drama,0.0,0
Really Love,(2020),Unknown,95 min,"Drama, Romance",6.1,889
Investigation Partners,(2018–2019),Unknown,35 min,"Crime, Drama, Mystery",8.2,816
Godspeed,(2022),TV-MA,119 min,Drama,6.5,1950
Lethal Seduction,(2015 TV Movie),TV-14,80 min,Thriller,5.1,993
Herod's Law,(1999),R,123 min,"Comedy, Crime, Mystery",7.8,6171
Kings of America,0,Unknown,0,Drama,0.0,0
Sudden Fear,(1952),Approved,110 min,"Film-Noir, Thriller",7.5,6427
Street Food: USA,(2022),TV-MA,30 min,Documentary,6.8,398
Results,(I) (2015),R,105 min,"Comedy, Romance",5.4,7242
The Epic Tales of Captain Underpants,(2018–2020),TV-Y7,24 min,"Animation, Short, Action",6.6,954
The Rise of Phoenixes,(2018),TV-14,60 min,"Drama, History, Romance",8.4,1535
One of Us,(IV) (2017),Unknown,95 min,Documentary,7.0,6642
The Hollow,(2018–2020),TV-Y7-FV,24 min,"Animation, Drama, Family",7.2,4382
Age of Samurai: Battle for Japan,(2021– ),TV-MA,44 min,"Documentary, Action, Adventure",7.4,4209
Blame!,(2017),TV-14,106 min,"Animation, Action, Drama",6.6,8138
Dream Home Makeover,(2020– ),TV-G,0,Reality-TV,5.6,1267
Banana Split,(2018),R,88 min,Comedy,6.2,3427
Miss Americana,(2020),TV-MA,85 min,"Documentary, Biography, Music",7.4,19766
The Magician's Elephant,(2023),Unknown,0,"Animation, Adventure, Comedy",0.0,0
The Forest of Love,(2019),TV-MA,151 min,"Crime, Drama, Horror",6.3,2571
The Diplomat,(2022– ),Unknown,0,Unknown,0.0,0
Damage,0,Unknown,0,"Drama, Mystery, Romance",0.0,0
Charité,(2017– ),TV-MA,45 min,"Drama, History",7.8,3379
Bodkin,0,Unknown,0,"Comedy, Drama, Thriller",0.0,0
Unknown Origins,(2020),TV-MA,96 min,"Action, Crime, Drama",6.1,6932
The Trial,(2010),PG-13,101 min,"Crime, Drama, Mystery",5.5,1557
School Life,(2019),TV-MA,111 min,"Comedy, Drama",6.5,2741
The Invisible Thread,(2022),Unknown,109 min,"Comedy, Drama, Family",6.7,1839
The Polka King,(2017),TV-14,95 min,"Biography, Comedy, Drama",5.9,10710
Twin Murders: The Silence of the White City,(2019),TV-MA,110 min,"Adventure, Crime, Drama",5.3,5416
Dynasty Warriors,(2021),Unknown,119 min,"Action, Adventure, Fantasy",4.7,2189
The Day Will Come,(2016),Unknown,119 min,Drama,7.8,4749
Marseille,(2016–2018),TV-MA,41 min,Drama,6.8,5220
Maldivas,(2022– ),TV-MA,30 min,"Comedy, Drama, Mystery",5.7,1035
Wolf,(2018),Unknown,80 min,"Action, Thriller, War",8.0,7602
Super Buddies,(2013 Video),G,81 min,Family,4.2,1554
Photocopier,(2021),TV-MA,130 min,"Crime, Drama, Mystery",6.8,3145
Old People,(2022),Unknown,90 min,Horror,6.4,56
Loose Change 9/11: An American Coup,(2009 Video),Unrated,99 min,"Documentary, History, War",7.1,3642
The Sons of Sam: A Descent into Darkness,(2021),TV-MA,239 min,"Documentary, Crime, History",7.0,8781
"Hi Bye, Mama!",(2020),Unknown,70 min,"Comedy, Drama, Fantasy",7.9,1692
Lego Friends,(2013– ),TV-G,4 min,Animation,5.0,158
The Long Road to War,(2018),Unknown,117 min,Documentary,7.8,833
Standing Up,(2022– ),TV-MA,45 min,"Comedy, Drama",7.5,1095
Free!,(2013– ),TV-PG,24 min,"Animation, Comedy, Drama",7.4,3154
The Club,(2019– ),TV-MA,30 min,"Comedy, Drama",6.3,898
Alien Worlds,(2020),TV-PG,42 min,"Documentary, Animation, Sci-Fi",6.5,3679
"That Winter, the Wind Blows",(2013),Unknown,65 min,Drama,7.6,1889
Bill Burr Presents: Friends Who Kill,(2022 TV Movie),TV-MA,73 min,"Documentary, Comedy",4.6,2252
Stuck Together,(2021),TV-MA,125 min,Comedy,6.3,7084
Magic for Humans,(2018– ),TV-PG,23 min,"Comedy, Reality-TV",7.2,3415
Jarhead 3: The Siege,(2016 Video),R,95 min,"Action, Drama, War",5.1,3726
Glitch Techs,(2020),TV-Y7-FV,25 min,"Animation, Action, Adventure",7.7,1479
Lulli,(2021),TV-14,90 min,"Comedy, Romance",4.8,1511
Yankee,(2019– ),TV-MA,40 min,Drama,5.8,722
Fear City: New York vs the Mafia,(2020),TV-MA,156 min,"Documentary, Crime",7.1,7494
Tempted,(2018),Unknown,32 min,"Drama, Mystery, Romance",7.1,1845
The Legacy of the Bones,(2019),TV-MA,121 min,"Crime, Thriller",6.3,9085
Pirate Gold of Adak Island,(2022– ),TV-14,30 min,"Adventure, Reality-TV",4.6,941
Ben & Jody,(2022),TV-MA,114 min,"Action, Adventure, Drama",5.4,285
The Platform,(2020– ),Unknown,45 min,Drama,6.5,349
Cheese in the Trap,(2016),Unknown,60 min,"Comedy, Romance",7.3,4089
Abstract: The Art of Design,(2017– ),TV-14,45 min,Documentary,8.3,5492
Riphagen,(2016),Unknown,131 min,"Biography, Drama, War",7.1,7878
Harlock: Space Pirate,(2013),Not Rated,115 min,"Animation, Adventure, Sci-Fi",6.4,12410
Fast and Loose,(II),Unknown,0,"Action, Crime, Thriller",0.0,0
Glamorous,0,Unknown,0,Drama,0.0,0
Girlfriend's Day,(2017),TV-MA,65 min,"Comedy, Drama",5.2,4638
Rattlesnake,(2019),TV-MA,85 min,"Drama, Horror, Mystery",4.6,8760
Soundtrack,(2019),TV-MA,56 min,"Drama, Musical",6.7,2140
Altered Carbon: Resleeved,(2020),TV-MA,74 min,"Animation, Action, Crime",6.5,6216
The Beautiful Game,(2022),PG-13,0,"Drama, Sport",0.0,0
White Fang,(2018),Unknown,85 min,"Animation, Adventure, Drama",6.9,3734
Guilt,(2016),TV-14,60 min,"Crime, Drama, Mystery",5.9,2637
Jo Koy: Live from Seattle,(2017 TV Special),TV-MA,62 min,Comedy,7.3,1438
Uysallar,(2022),TV-MA,45 min,"Comedy, Drama",7.1,5299
The Unauthorized Bash Brothers Experience,(2019),TV-MA,30 min,"Short, Comedy, Music",6.9,5266
My Unorthodox Life,(2021– ),TV-MA,0,Reality-TV,5.7,1236
Neon Genesis Evangelion: Death & Rebirth,(1997),Not Rated,101 min,"Animation, Action, Drama",7.3,14298
Open Your Eyes,(2021– ),TV-MA,54 min,"Drama, Mystery, Sci-Fi",6.5,1520
Bumperkleef,(2019),Unknown,86 min,"Action, Horror, Thriller",5.8,3414
Spice and Wolf,(2008–2009),TV-14,24 min,"Animation, Adventure, Fantasy",7.9,4467
East of Eden,0,Unknown,0,Drama,0.0,0
Hitler's Circle of Evil,(2018),Unknown,52 min,"Documentary, Biography, History",8.0,4407
Adu,(2020),TV-MA,119 min,Drama,6.8,4964
Hot Bot,(2016),Not Rated,86 min,"Comedy, Sci-Fi",3.3,3679
Bad Romeo,(2022),Unknown,0,"Drama, Romance",6.9,184
The Exorcist Boner,(2020–2021),TV-MA,12 min,"Comedy, Animation",5.7,306
The Unlisted,(2019– ),Unknown,22 min,"Family, Sci-Fi, Thriller",6.5,1005
Shrew's Nest,(2014),Not Rated,91 min,"Drama, Horror, Thriller",6.7,7080
Steel Rain,(2017),TV-MA,139 min,"Action, Drama, Thriller",7.1,5759
The Resistance Banker,(2018),TV-MA,123 min,"Biography, Drama, War",6.9,9583
Super PupZ,(2022– ),TV-Y7,25 min,"Adventure, Comedy, Family",7.1,112
Paper Lives,(2021),TV-MA,96 min,Drama,6.6,12227
NiNoKuni,(2019),TV-14,106 min,"Animation, Action, Adventure",6.1,3472
Planet of the Dead,0,Unknown,0,"Action, Horror",0.0,0
Police University,(2021– ),Unknown,65 min,"Comedy, Drama, Romance",7.3,658
V.R. Troopers,(1994–1996),TV-Y7,30 min,"Action, Adventure, Family",5.6,1041
The Journalist,(2022– ),TV-14,50 min,"Drama, Thriller",7.0,664
Human: The World Within,(2021– ),TV-PG,0,Documentary,6.8,772
The Healing Powers of Dude,(2020),TV-G,25 min,"Short, Action, Adventure",6.4,926
Higurashi: When They Cry - GOU,(2020–2021),TV-MA,0,"Animation, Drama, Horror",6.9,588
Descendant,(2022),PG,109 min,"Documentary, History",7.0,37
Nappily Ever After,(2018),TV-MA,98 min,"Comedy, Drama, Romance",6.4,9274
Spotless,(2015),TV-MA,60 min,"Crime, Drama",7.7,3686
The Council,0,Unknown,0,"Biography, Crime, Drama",0.0,0
He is Psychometric,(2019),Unknown,65 min,"Fantasy, Mystery, Romance",7.7,1692
The Mechanism,(2018–2019),TV-MA,41 min,"Crime, Drama, Thriller",8.0,36200
Chocolate,(I) (2019–2020),Unknown,70 min,"Drama, Romance",7.6,1245
Animal World,(2018),Not Rated,132 min,"Action, Fantasy, Sci-Fi",6.4,4551
The Innocent Man,(2018),TV-MA,284 min,"Documentary, Crime",7.3,6032
Last Flight to Abuja,(2012),TV-14,81 min,"Action, Drama, Thriller",4.4,359
Nobel,(2016),Unknown,45 min,"Drama, Thriller, War",8.0,6489
Tudum,(2021 TV Special),Unknown,0,Talk-Show,7.6,15
Endless Night,(2022– ),Unknown,30 min,"Drama, Fantasy, Mystery",5.4,151
The Maus,(2017),Unknown,90 min,"Drama, Fantasy, Horror",4.6,6141
Chef's Table: BBQ,(2020),TV-14,40 min,Documentary,7.8,1051
The Maid,(2020),Unknown,102 min,"Drama, Horror, Mystery",5.6,945
The Inside Outtakes,(2022 Video),TV-MA,63 min,"Comedy, Drama, Musical",8.1,961
Twice Upon a Time,(2019),Unknown,192 min,"Drama, Romance, Sci-Fi",6.2,1060
Light the Night,(2021– ),TV-MA,50 min,"Crime, Drama, Mystery",7.4,1123
Savage Beauty,(2022– ),TV-MA,45 min,Drama,5.5,392
2020,(II) (2021– ),Unknown,45 min,"Crime, Drama, Thriller",7.8,434
Doctor John,(2019),Unknown,35 min,"Drama, Mystery, Romance",8.1,1471
Chino,(1973),PG,97 min,"Action, Adventure, Drama",6.0,2339
Aelliseu,(2020),Unknown,70 min,"Drama, Fantasy, Mystery",7.1,1136
Yungnyong-i Nareusya,(2015–2016),Unknown,0,"Action, Drama, History",8.9,994
Superlopez,(2018),Unknown,108 min,"Action, Comedy, Sci-Fi",5.4,3734
The Archies,(2023),Unknown,0,"Comedy, Drama, Musical",0.0,0
QB1: Beyond the Lights,(2017– ),TV-14,35 min,"Documentary, Sport",7.7,920
Isekai wa smartphone to tomo ni.,(2017),TV-14,24 min,"Animation, Adventure, Comedy",6.6,2116
Once Upon a Time... But Not Anymore,(2022– ),TV-MA,30 min,"Comedy, Fantasy, Musical",5.5,522
Hostage House,(2021),TV-14,85 min,Thriller,3.9,883
He's Expecting,(2022– ),TV-PG,23 min,"Comedy, Drama, Fantasy",2.3,3122
Remember Sunday,(2013 TV Movie),TV-PG,96 min,"Drama, Romance",6.9,11760
Flavors of Youth,(2018),TV-PG,74 min,"Animation, Drama, Romance",6.6,7517
Crime Stories: India Detectives,(2021– ),TV-MA,47 min,"Documentary, Crime, Mystery",7.1,1052
Surviving Death,(2021– ),TV-MA,50 min,"Documentary, Reality-TV",6.2,2077
Pokémon the Movie: Secrets of the Jungle,(2020),TV-Y7,99 min,"Animation, Action, Adventure",6.4,2018
Too Hot to Handle: Brazil,(2021– ),TV-MA,50 min,"Game-Show, Reality-TV, Romance",5.5,476
Sexy Beasts,(2021– ),TV-14,0,"Reality-TV, Romance",4.6,1161
Inhuman Resources,(I) (2020– ),Unknown,52 min,"Drama, Thriller",7.2,4015
One Strange Rock,(2018),TV-PG,47 min,Documentary,8.7,7886
Furie,(2019),TV-14,98 min,"Action, Drama, Thriller",6.3,4854
My Unfamiliar Family,(2020– ),Unknown,70 min,Drama,7.7,158
Iron Man: Armored Adventures,(2008–2012),TV-Y7,22 min,"Animation, Action, Adventure",6.4,3678
12 Rounds 3: Lockdown,(2015),R,90 min,"Action, Crime, Thriller",5.1,4292
Indiscretion,(2016),Not Rated,99 min,Thriller,4.8,1074
Against the Sun,(2014),PG,100 min,"Biography, Drama, War",6.5,6019
Sailor Moon Eternal,(2021),TV-14,160 min,"Animation, Action, Adventure",6.9,1293
The Talisman,0,Unknown,0,"Adventure, Drama, Fantasy",0.0,0
Illang: The Wolf Brigade,(2018),TV-MA,139 min,"Action, Sci-Fi",5.9,5229
Paquita Salas,(2016– ),Unknown,0,Comedy,8.0,3240
The Chalet,(2017–2018),TV-MA,52 min,"Drama, Mystery, Thriller",7.0,7345
Freaks: You're One of Us,(2020),TV-MA,92 min,"Action, Drama, Fantasy",5.4,6146
Crossfire Hurricane,(2012),Not Rated,111 min,"Documentary, Biography, Music",7.4,2630
Well-Intended Love,(2019–2020),TV-14,45 min,"Drama, Romance",7.2,1513
The Binding,(2020),TV-MA,93 min,"Drama, Horror, Thriller",4.8,4257
I Am Not an Easy Man,(2018),Unknown,98 min,Comedy,6.3,14604
Doctor,(2021),Unknown,148 min,"Action, Comedy, Crime",7.5,15996
Where Stars Land,(2018– ),Unknown,35 min,"Drama, Romance",7.1,944
The Yinyang Master,(2021),Unknown,113 min,"Action, Adventure, Drama",6.4,2742
Walk. Ride. Rodeo.,(2019),TV-PG,100 min,"Biography, Drama, Sport",6.4,2476
Ever After High,(2013–2017),TV-Y,25 min,"Animation, Adventure, Comedy",7.7,1218
Behind Blue Skies,(2010),Unknown,110 min,Drama,6.6,3718
Te3n,(2016),Unknown,136 min,"Drama, Mystery, Thriller",7.2,13124
Ray,(2021– ),TV-14,65 min,"Crime, Drama, Thriller",7.1,8895
Spellbinder,(1995–1997),Unknown,24 min,"Adventure, Family, Fantasy",8.2,2168
Life After Death with Tyler Henry,(2022– ),TV-MA,45 min,Reality-TV,5.9,998
The Break,(2016– ),TV-MA,52 min,"Crime, Drama, Thriller",7.6,6554
Amanda Knox,(2016),TV-MA,92 min,"Documentary, Crime",6.9,24777
Spirit Riding Free,(2017–2019),TV-Y7,23 min,"Animation, Action, Adventure",6.4,1031
Swiped,(I) (2018),TV-14,93 min,"Comedy, Romance",3.1,14400
Chief of Staff,(2019),Unknown,60 min,Drama,7.9,576
Cowspiracy: The Sustainability Secret,(2014),Not Rated,90 min,Documentary,8.1,25357
Stolen Away,(2020),TV-14,50 min,"Crime, Drama, Mystery",7.1,2397
My Perfect Landing,(2020),TV-G,0,Family,6.4,181
Frozen Fever,(2015),G,8 min,"Animation, Short, Adventure",6.8,16300
Kiss Me First,(2018),TV-MA,46 min,"Drama, Mystery, Sci-Fi",6.2,3972
Toy Story That Time Forgot,(2014 TV Short),TV-G,22 min,"Animation, Short, Adventure",7.1,11872
Danger Mouse,(2015–2022),TV-Y7,22 min,"Animation, Action, Adventure",7.1,604
False Identity,(2018– ),TV-14,0,"Crime, Drama, Thriller",7.0,364
When Heroes Fly,(2018),Unknown,45 min,"Action, Drama",7.1,3241
The Adventures of Puss in Boots,(2015–2018),TV-Y7,23 min,"Animation, Short, Action",6.5,1759
Rising High,(2020),TV-MA,94 min,"Comedy, Drama",5.9,5105
Sweet & Sour,(2021),TV-14,101 min,"Comedy, Romance",6.7,2624
Intuition,(2020),TV-MA,116 min,"Crime, Drama, Mystery",5.5,2788
Middleditch & Schwartz,(2020– ),TV-MA,51 min,Comedy,8.6,5411
My Holo Love,(2020),TV-14,55 min,"Drama, Romance, Sci-Fi",7.6,2601
Wild Babies,(2022– ),TV-PG,30 min,Documentary,7.7,546
A ciegas,(2022),Unknown,0,"Horror, Sci-Fi",0.0,0
My Father's Violin,(2022),TV-14,112 min,Drama,6.4,3365
Barry,(II) (2016),Unknown,104 min,"Biography, Drama",5.9,7265
Are You Human Too?,(2018),Unknown,35 min,"Comedy, Drama, Romance",7.9,2346
Killer Inside: The Mind of Aaron Hernandez,(2020),TV-MA,202 min,"Documentary, Crime, Sport",7.4,17311
"I, Monster",(1971),PG,75 min,Horror,5.8,1598
Masha and the Bear,(2007– ),TV-Y,7 min,"Animation, Short, Adventure",7.5,3219
Mortel,(2019–2021),TV-MA,40 min,"Crime, Drama, Fantasy",6.4,1492
See You Yesterday,(2019),TV-MA,84 min,"Action, Adventure, Crime",5.2,10895
The G Word with Adam Conover,(2022),TV-MA,174 min,"Documentary, Comedy",6.8,799
Irul,(2021),Unknown,91 min,"Mystery, Thriller",5.8,3204
Little Witch Academia,(2017),TV-Y7,25 min,"Animation, Comedy, Family",7.8,3297
Gleipnir,(2020),TV-14,24 min,"Animation, Action, Fantasy",6.8,1433
The Big Combo,(1955),Not Rated,87 min,"Crime, Drama, Film-Noir",7.3,7696
The Goop Lab,(2020– ),TV-MA,30 min,"Documentary, Reality-TV",2.5,3351
Sisters,(2017),TV-MA,60 min,Drama,7.4,1788
The Fuck It Bucket,0,Unknown,0,Drama,0.0,0
Sophie: A Murder in West Cork,(2021),TV-14,164 min,"Documentary, Crime, History",6.8,5424
Pup Academy,(2019– ),TV-Y7-FV,0,Family,6.6,535
The Devil Next Door,(2019),TV-MA,229 min,"Documentary, Crime, History",7.6,13589
Win It All,(2017),TV-MA,88 min,Comedy,6.2,9400
The Disciple,(2020),TV-MA,129 min,"Drama, Music",7.1,2636
Radio Rebel,(2012 TV Movie),TV-G,85 min,"Comedy, Drama, Family",5.8,9915
The Ripper,(2020),TV-MA,195 min,"Documentary, Crime",7.1,9637
Marlon,(2017–2018),TV-PG,22 min,Comedy,6.9,4229
Omniscient,(2020),Unknown,0,"Drama, Sci-Fi, Thriller",6.5,2165
A Certain Magical Index,(2008–2019),TV-14,23 min,"Animation, Action, Comedy",6.8,1982
Perfect Strangers,(I) (2022),TV-14,99 min,"Comedy, Drama",5.8,4809
The Hidden Lives of Pets,(2022– ),Unknown,30 min,Documentary,7.2,610
Opening Night,(II) (2016),Not Rated,90 min,"Comedy, Musical",6.0,2694
Kotaro Lives Alone,(2021),TV-14,30 min,"Comedy, Drama, Family",8.4,371
St. Agatha,(2018),TV-MA,103 min,"Horror, Thriller",4.9,5824
Somos.,(2021),TV-MA,55 min,"Crime, Drama, History",7.1,1166
Geçen Yaz,(2021),TV-14,101 min,"Drama, Romance",6.3,2973
What Did Jack Do?,(2017),TV-14,17 min,"Short, Comedy, Crime",6.4,12837
The Minimalists: Less Is Now,(2021),TV-14,53 min,Documentary,5.9,4230
Asphalt Burning,(2020),TV-14,100 min,"Action, Comedy",5.1,2375
The Neighbor,(II) (2016),Not Rated,87 min,"Crime, Horror, Thriller",5.8,7785
Happy Anniversary,(I) (2018),TV-MA,78 min,Comedy,5.7,4323
Shanghai Fortress,(2019),Unknown,107 min,"Action, Sci-Fi",4.4,2429
Two Lovers and a Bear,(2016),R,96 min,"Adventure, Drama, Romance",6.0,1947
The Breaker Upperers,(2018),Unknown,90 min,Comedy,5.9,6210
War Party,0,Unknown,0,"Action, Adventure, Drama",0.0,0
Sword Art Online the Movie: Ordinal Scale,(2017),TV-14,119 min,"Animation, Action, Adventure",7.3,8113
Kahaani,(2012),Not Rated,122 min,"Mystery, Thriller",8.1,62937
100 días para enamorarnos,(2020–2021),TV-14,45 min,Comedy,6.7,764
Disclosure,(2020),TV-MA,108 min,Documentary,8.2,5514
You Are My Spring,(2021– ),Unknown,70 min,"Drama, Romance, Thriller",7.4,638
Call My Agent Bollywood,(2021– ),TV-MA,40 min,"Comedy, Drama",6.9,6234
The Raid,0,Unknown,0,"Action, Crime, Thriller",0.0,0
The Melancholy of Haruhi Suzumiya,(2006–2009),TV-14,24 min,"Animation, Comedy, Fantasy",7.8,8489
Baahubali: Before the Beginning,0,TV-14,0,"Action, Adventure, Drama",0.0,0
Big Timber,(2020– ),Unknown,0,Reality-TV,6.8,827
Hard Times,(2009),R,94 min,"Comedy, Crime",5.8,2579
Dahmer vs. Gacy,(2010),Not Rated,90 min,"Comedy, Horror",2.7,544
They Call Me Jeeg,(2015),Unknown,112 min,"Action, Comedy, Drama",7.0,15207
The Least Expected Day,(2020–2022),Unknown,0,"Documentary, Sport",7.4,788
Viva La Madness,0,Unknown,0,"Action, Crime, Drama",0.0,0
Lonely Planet,0,Unknown,0,"Drama, Romance",0.0,0
Bloom Into You,(2018– ),TV-PG,24 min,"Animation, Drama, Romance",7.8,1419
Irmandade,(2019– ),TV-MA,50 min,"Crime, Drama, Thriller",7.5,1488
Japan Sinks: 2020,(2020),TV-MA,25 min,"Animation, Adventure, Drama",6.4,3058
Gigantosaurus,(2019– ),TV-Y,22 min,Animation,6.5,178
All for Love,(2020– ),TV-MA,45 min,"Drama, Romance",7.0,201
Walt Before Mickey,(2015),PG,107 min,"Biography, Drama",5.9,6117
Hot Date,(2017–2019),Unknown,20 min,Comedy,7.1,644
Criminal: Germany,(2019),Unknown,59 min,"Crime, Drama, Mystery",7.6,5290
