title,year,certificate,duration,genre,rating,votes
Arcane,(2021– ),TV-14,41 min,"Animation, Action, Adventure",9.0,196697
The Lørenskog Disappearance,(2021),TV-MA,0,"Documentary, Crime",6.1,668
The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"Action, Adventure, Drama",8.8,1642708
All Quiet on the Western Front,(2022),R,147 min,"Action, Drama, War",8.3,199
Mr. Harrigan's Phone,(2022),PG-13,104 min,Horror,0.0,0
American Psycho,(2000),R,102 min,"Crime, Drama, Horror",7.6,598117
The Hobbit: An Unexpected Journey,(2012),PG-13,169 min,"Adventure, Fantasy",7.8,820021
Kleo,(2022– ),TV-MA,44 min,"Action, Crime, Drama",7.5,5517
Riverdale,(2017– ),TV-14,45 min,"Crime, Drama, Mystery",6.6,143861
Sons of Anarchy,(2008–2014),TV-MA,45 min,"Crime, Drama, Thriller",8.6,294616
Mad Men,(2007–2015),TV-14,47 min,Drama,8.7,237030
The Flash,(2014–2023),TV-PG,43 min,"Action, Adventure, Drama",7.6,344187
Archer,(2009– ),TV-MA,22 min,"Animation, Action, Comedy",8.6,153880
Dahmer - Monster: The Jeffrey Dahmer Story,(2022),TV-MA,534 min,"Biography, Crime, Drama",8.5,5580
Mr. Robot,(2015–2019),TV-MA,49 min,"Crime, Drama, Thriller",8.6,383470
That '70s Show,(1998–2006),TV-14,22 min,"Comedy, Drama, Romance",8.1,169768
You,(2018– ),TV-MA,45 min,"Crime, Drama, Romance",7.7,234218
Look Both Ways,(2022),TV-14,110 min,"Comedy, Drama, Romance",6.3,14313
365 Days,(2020),TV-MA,114 min,"Drama, Romance",3.3,89071
I Used to Be Famous,(2022),TV-14,104 min,"Comedy, Drama, Music",6.6,2633
Titanic,(1997),PG-13,194 min,"Drama, Romance",7.9,1158746
Bridgerton,(2020– ),TV-MA,60 min,"Drama, History, Romance",7.3,133119
Sherlock,(2010–2017),TV-14,88 min,"Crime, Drama, Mystery",9.1,913816
Dexter,(2006–2013),TV-MA,53 min,"Crime, Drama, Mystery",8.7,720792
New Girl,(2011–2018),TV-14,22 min,"Comedy, Romance",7.7,221781
The Expanse,(2015–2022),TV-14,60 min,"Drama, Mystery, Sci-Fi",8.5,151611
Purple Hearts,(2022),TV-14,122 min,"Drama, Music, Romance",6.7,32797
The Gentlemen,(2019),R,113 min,"Action, Comedy, Crime",7.8,331508
The Good Doctor,(2017– ),TV-14,41 min,Drama,8.1,92641
Downton Abbey,(2010–2015),TV-PG,58 min,"Drama, Romance",8.7,204875
Extraordinary Attorney Woo,(2022),TV-14,75 min,Drama,8.9,9538
Smallville,(2001–2017),TV-PG,60 min,"Action, Adventure, Drama",7.5,127295
Star Trek: The Next Generation,(1987–1994),TV-PG,44 min,"Action, Adventure, Sci-Fi",8.7,119655
BoJack Horseman,(2014–2020),TV-MA,25 min,"Animation, Comedy, Drama",8.8,152649
"Love, Death & Robots",(2019– ),TV-MA,15 min,"Animation, Short, Action",8.4,165153
Money Heist,(2017–2021),TV-MA,70 min,"Action, Crime, Drama",8.2,469640
Orange Is the New Black,(2013–2019),TV-MA,59 min,"Comedy, Crime, Drama",8.1,300354
Jurassic Park,(1993),PG-13,127 min,"Action, Adventure, Sci-Fi",8.2,978402
Prison Break,(2005–2017),TV-14,44 min,"Action, Crime, Drama",8.3,529304
Billions,(2016– ),TV-MA,60 min,Drama,8.4,93451
Once Upon a Time,(2011–2018),TV-PG,60 min,"Adventure, Fantasy, Romance",7.7,223549
Titans,(I) (2018– ),TV-MA,45 min,"Action, Adventure, Crime",7.6,98315
The 100,(2014–2020),TV-14,43 min,"Drama, Mystery, Sci-Fi",7.6,248827
Jaws,(1975),PG,124 min,"Adventure, Thriller",8.1,600404
The Catholic School,(2021),TV-MA,106 min,Drama,5.8,1536
South Park,(1997– ),TV-14,22 min,"Animation, Comedy",8.7,366394
Spartacus,(2010–2013),TV-MA,55 min,"Action, Adventure, Biography",8.5,241105
Clueless,(1995),PG-13,97 min,"Comedy, Romance",6.9,216233
Chesapeake Shores,(2016–2022),TV-PG,42 min,"Drama, Family",7.5,7676
Demon Slayer: Kimetsu no Yaiba,(2019– ),TV-MA,24 min,"Animation, Action, Adventure",8.7,97968
The Queen's Gambit,(2020),TV-MA,60 min,Drama,8.6,432644
Pretty Little Liars,(2010–2017),TV-14,44 min,"Drama, Mystery, Romance",7.4,166548
Mindhunter,(2017–2019),TV-MA,60 min,"Crime, Drama, Mystery",8.6,281506
"Murder, She Wrote",(1984–1996),TV-PG,50 min,"Crime, Drama, Mystery",7.1,24323
From,(2022– ),TV-MA,52 min,"Drama, Horror, Mystery",7.6,18826
Spiderhead,(2022),R,106 min,"Action, Crime, Drama",5.4,52102
CSI: Crime Scene Investigation,(2000–2015),TV-14,60 min,"Crime, Drama, Mystery",7.7,83833
Evil,(2019– ),TV-14,42 min,"Crime, Drama, Horror",7.7,26248
The Lincoln Lawyer,(2022– ),TV-MA,60 min,"Crime, Drama, Mystery",7.7,35356
Arrested Development,(2003–2019),TV-14,22 min,Comedy,8.7,302834
Heartland,(II) (2007– ),TV-PG,45 min,"Drama, Family",8.4,16702
Mo,(2022– ),TV-MA,30 min,"Comedy, Drama",7.6,5261
Inventing Anna,(2022),TV-MA,65 min,Drama,6.8,65185
It,(I) (2017),R,135 min,Horror,7.3,537240
Narcos,(2015–2017),TV-MA,49 min,"Biography, Crime, Drama",8.8,416307
The Sinner,(2017–2021),TV-MA,45 min,"Crime, Drama, Mystery",7.9,120241
Homeland,(2011–2020),TV-MA,55 min,"Crime, Drama, Mystery",8.3,339482
The Haunting of Hill House,(2018),TV-MA,572 min,"Drama, Horror, Mystery",8.6,237198
Doc Martin,(2004–2022),TV-14,46 min,"Comedy, Drama, Romance",8.4,16147
Hawaii Five-0,(2010–2020),TV-14,42 min,"Action, Crime, Drama",7.4,73530
Star Trek: The Original Series,(1966–1969),TV-PG,50 min,"Action, Adventure, Sci-Fi",8.4,83805
The Next 365 Days,(2022),TV-MA,112 min,"Drama, Romance",2.7,5495
Don't Look Up,(2021),R,138 min,"Comedy, Drama, Sci-Fi",7.2,525424
Murdoch Mysteries,(2008– ),TV-PG,48 min,"Crime, Drama, Mystery",8.2,14381
The Good Wife,(2009–2016),TV-14,43 min,"Crime, Drama, Mystery",8.4,75557
Shadow and Bone,(2021– ),TV-14,60 min,"Action, Adventure, Drama",7.6,82657
Sex/Life,(2021– ),TV-MA,45 min,"Comedy, Drama, Romance",5.4,21107
Gladiator,(2000),R,155 min,"Action, Adventure, Drama",8.5,1481531
The Punisher,(2017–2019),TV-MA,53 min,"Action, Crime, Drama",8.5,231599
Midnight Mass,(2021),TV-MA,450 min,"Drama, Fantasy, Horror",7.7,110997
"Roswell, New Mexico",(2019–2022),TV-14,45 min,"Drama, Romance, Sci-Fi",6.2,12827
Taxi Driver,(1976),R,114 min,"Crime, Drama",8.2,819599
Teen Wolf,(2011–2017),TV-14,41 min,"Action, Drama, Fantasy",7.7,146991
Vikings: Valhalla,(2022– ),TV-MA,51 min,"Action, Adventure, Drama",7.2,37571
New Amsterdam,(2018– ),TV-14,43 min,Drama,8.0,37212
Léon: The Professional,(1994),R,110 min,"Action, Crime, Drama",8.5,1147345
Arrow,(2012–2020),TV-14,42 min,"Action, Adventure, Crime",7.5,429943
The Good Nurse,(2022),R,121 min,"Biography, Crime, Drama",7.8,116
The Good Place,(2016–2020),TV-PG,22 min,"Comedy, Drama, Fantasy",8.2,156760
Agents of S.H.I.E.L.D.,(2013–2020),TV-PG,45 min,"Action, Adventure, Drama",7.5,216461
Mother!,(2017),R,121 min,"Drama, Horror, Mystery",6.6,224398
Hustle,(2022),R,117 min,"Comedy, Drama, Sport",7.3,110391
Terim,(2022– ),TV-14,0,"Documentary, Biography, Sport",7.0,4279
365 Days: This Day,(2022),TV-MA,111 min,"Drama, Romance",2.6,19357
Cheers,(1982–1993),TV-PG,22 min,"Comedy, Drama",7.9,54765
Line of Duty,(2012–2021),TV-14,60 min,"Crime, Drama, Mystery",8.7,58387
Pieces of Her,(2022– ),TV-MA,52 min,"Crime, Drama, Mystery",6.3,25208
The Departed,(2006),R,151 min,"Crime, Drama, Thriller",8.5,1310171
Star Wars: The Clone Wars,(2008–2020),TV-PG,23 min,"Animation, Action, Adventure",8.4,94334
Star Trek: Deep Space Nine,(1993–1999),TV-PG,45 min,"Action, Adventure, Drama",8.1,62898
Spider-Man,(2002),PG-13,121 min,"Action, Adventure, Sci-Fi",7.4,809904
Santo,(2022– ),TV-MA,45 min,"Action, Crime, Drama",5.0,417
Delhi Crime,(2019– ),TV-MA,50 min,"Crime, Drama",8.5,22337
JoJo's Bizarre Adventure,(2012– ),TV-14,30 min,"Animation, Action, Adventure",8.4,22677
House of Cards,(2013–2018),TV-MA,51 min,Drama,8.7,500982
American Crime Story,(2016– ),TV-MA,42 min,"Biography, Crime, Drama",8.4,95054
Beauty and the Beast,(I) (2017),PG,129 min,"Adventure, Family, Fantasy",7.1,306985
Dynasty,(2017–2022),TV-14,42 min,Drama,7.2,22045
Glee,(2009–2015),TV-PG,44 min,"Comedy, Drama, Music",6.8,147910
Brooklyn,(2015),PG-13,117 min,"Drama, Romance",7.5,142184
The Americans,(2013–2018),TV-MA,44 min,"Crime, Drama, Mystery",8.4,98875
Gotham,(2014–2019),TV-14,42 min,"Action, Crime, Drama",7.8,229301
Gossip Girl,(2007–2012),TV-14,42 min,"Drama, Romance",7.5,173318
Gone Girl,(2014),R,149 min,"Drama, Mystery, Thriller",8.1,971322
The Tudors,(2007–2010),TV-MA,60 min,"Drama, History, Romance",8.1,74863
Twin Peaks,(1990–1991),TV-MA,47 min,"Crime, Drama, Mystery",8.8,196192
The Poison Rose,(2019),R,98 min,"Crime, Mystery, Thriller",4.7,9475
Avatar: The Last Airbender,(2005–2008),TV-Y7-FV,23 min,"Animation, Action, Adventure",9.3,309241
Hannibal,(2013–2015),TV-14,44 min,"Crime, Drama, Horror",8.5,253302
Star Trek: Voyager,(1995–2001),TV-PG,44 min,"Action, Adventure, Sci-Fi",7.8,69047
NCIS: Los Angeles,(2009– ),TV-14,43 min,"Action, Crime, Drama",6.7,53571
Persuasion,(I) (2022),PG,108 min,"Drama, Romance",5.7,25625
